phase,block,trial,a1_left,chosen_op,correct,exp_a1_left,exp_a1_right,exp_a2_left,exp_a2_right
training,3,6,0,2,1,0.883874,0.814498,0.181233,0.000000
training,3,7,1,1,1,0.889607,0.814498,0.181233,0.000000
training,3,8,0,2,1,0.889607,0.829374,0.181233,0.000000
training,3,9,1,1,1,0.894766,0.829374,0.181233,0.000000
training,3,10,0,2,1,0.894766,0.841957,0.181233,0.000000
training,3,11,1,1,1,0.899433,0.841957,0.181233,0.000000
training,3,12,0,2,1,0.899433,0.852740,0.181233,0.000000
testing,1,1,1,1,1,0.899119,0.852740,0.181233,0.000000
testing,1,2,0,2,1,0.899119,0.852293,0.181233,0.000000
testing,1,3,1,1,1,0.898805,0.852293,0.181233,0.000000
testing,1,4,0,2,1,0.898805,0.851846,0.181233,0.000000
testing,1,5,1,1,1,0.898491,0.851846,0.181233,0.000000
testing,1,6,0,2,1,0.898491,0.851400,0.181233,0.000000
testing,1,7,1,1,1,0.898178,0.851400,0.181233,0.000000
testing,1,8,0,2,1,0.898178,0.850954,0.181233,0.000000
testing,1,9,1,1,1,0.897864,0.850954,0.181233,0.000000
testing,1,10,0,2,1,0.897864,0.850509,0.181233,0.000000
testing,1,11,1,1,1,0.897551,0.850509,0.181233,0.000000
testing,1,12,0,2,1,0.897551,0.850064,0.181233,0.000000
testing,2,1,1,1,1,0.897238,0.850064,0.181233,0.000000
testing,2,2,0,2,1,0.897238,0.849620,0.181233,0.000000
testing,2,3,1,1,1,0.896926,0.849620,0.181233,0.000000
testing,2,4,0,2,1,0.896926,0.849177,0.181233,0.000000
testing,2,5,1,1,1,0.896613,0.849177,0.181233,0.000000
testing,2,6,0,2,1,0.896613,0.848733,0.181233,0.000000
testing,2,7,1,1,1,0.896301,0.848733,0.181233,0.000000
testing,2,8,0,2,1,0.896301,0.848290,0.181233,0.000000
testing,2,9,1,1,1,0.895989,0.848290,0.181233,0.000000
testing,2,10,0,2,1,0.895989,0.847848,0.181233,0.000000
testing,2,11,1,1,1,0.895677,0.847848,0.181233,0.000000
testing,2,12,0,2,1,0.895677,0.847406,0.181233,0.000000
testing,3,1,1,1,1,0.895365,0.847406,0.181233,0.000000
testing,3,2,0,2,1,0.895365,0.846965,0.181233,0.000000
testing,3,3,1,1,1,0.895054,0.846965,0.181233,0.000000
testing,3,4,0,2,1,0.895054,0.846524,0.181233,0.000000
testing,3,5,1,1,1,0.894743,0.846524,0.181233,0.000000
testing,3,6,0,2,1,0.894743,0.846083,0.181233,0.000000
testing,3,7,1,1,1,0.894432,0.846083,0.181233,0.000000
testing,3,8,0,2,1,0.894432,0.845643,0.181233,0.000000
testing,3,9,1,1,1,0.894121,0.845643,0.181233,0.000000
testing,3,10,0,2,1,0.894121,0.845203,0.181233,0.000000
testing,3,11,1,1,1,0.893811,0.845203,0.181233,0.000000
testing,3,12,0,2,1,0.893811,0.844764,0.181233,0.000000
